SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	Information and data processing	48.847822512		All occ	26554.676051	2	All occupations	2	0
00-0000	Information and data processing	40.846904928		All occ	26395.667757	3	All occupations	2	0
00-0000	Information and data processing	67.598638524		All occ	50747.824218	0	All occupations	3	0
00-0000	Information and data processing	62.092791217		All occ	44065.830824	1	All occupations	3	0
00-0000	Information and data processing	55.296461312		All occ	40054.485496	2	All occupations	3	0
00-0000	Information and data processing	45.035356671		All occ	36002.193971	3	All occupations	3	0
00-0000	Information and data processing	74.349330471		All occ	82926.390236	0	All occupations	4	0
00-0000	Information and data processing	69.120536722		All occ	75450.977019	1	All occupations	4	0
00-0000	Information and data processing	63.903361116		All occ	66342.707961	2	All occupations	4	0
00-0000	Information and data processing	55.418670951		All occ	58238.891851	3	All occupations	4	0
00-0000	Information and data processing	77.309370697		All occ	107921.74717	0	All occupations	5	0
00-0000	Information and data processing	71.598907442		All occ	102512.82254	1	All occupations	5	0
00-0000	Information and data processing	67.889323074		All occ	85044.419373	2	All occupations	5	0
00-0000	Information and data processing	58.814237536		All occ	60931.243459	3	All occupations	5	0
00-0000	Information input	59.742865971		All occ	29898.504366	0	All occupations	1	0
00-0000	Information input	51.750431365		All occ	19334.236364	1	All occupations	1	0
00-0000	Information input	47.843155755		All occ	23092.595682	2	All occupations	1	0
00-0000	Information input	39.857243843		All occ	19544.517647	3	All occupations	1	0
00-0000	Information input	66.757060867		All occ	34282.58787	0	All occupations	2	0
00-0000	Information input	61.285012399		All occ	34070.155913	1	All occupations	2	0
00-0000	Information input	55.628156344		All occ	30115.334522	2	All occupations	2	0
00-0000	Information input	47.509442573		All occ	26100.92795	3	All occupations	2	0
00-0000	Information input	69.851785028		All occ	49540.387187	0	All occupations	3	0
00-0000	Information input	63.971583234		All occ	48994.844766	1	All occupations	3	0
00-0000	Information input	57.345105645		All occ	41481.472044	2	All occupations	3	0
00-0000	Information input	50.225372507		All occ	36562.645983	3	All occupations	3	0
00-0000	Information input	69.865653409		All occ	78999.379996	0	All occupations	4	0
00-0000	Information input	64.389940713		All occ	81003.254175	1	All occupations	4	0
00-0000	Information input	57.181417159		All occ	66543.928676	2	All occupations	4	0
00-0000	Information input	52.268913133		All occ	59706.186932	3	All occupations	4	0
00-0000	Information input	71.496825426		All occ	110817.13457	0	All occupations	5	0
00-0000	Information input	65.33589825		All occ	93340.208609	1	All occupations	5	0
00-0000	Information input	60.585472429		All occ	90482.912099	2	All occupations	5	0
00-0000	Information input	52.755681571		All occ	70651.188935	3	All occupations	5	0
00-0000	Performing complex and technical activities	39.440973204		All occ	22954.453031	0	All occupations	1	0
00-0000	Performing complex and technical activities	31.522878766		All occ	20507.545966	1	All occupations	1	0
00-0000	Performing complex and technical activities	26.583028141		All occ	20275.26223	2	All occupations	1	0
00-0000	Performing complex and technical activities	21.141511726		All occ	19747.397189	3	All occupations	1	0
00-0000	Performing complex and technical activities	48.765789359		All occ	37821.079923	0	All occupations	2	0
