SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	Systems and complex problem solving	31.060204575		All occ	26280.551062	3	All occupations	2	0
00-0000	Systems and complex problem solving	53.589783117		All occ	55733.785521	0	All occupations	3	0
00-0000	Systems and complex problem solving	50.068655848		All occ	43916.661837	1	All occupations	3	0
00-0000	Systems and complex problem solving	46.31863426		All occ	38278.030147	2	All occupations	3	0
00-0000	Systems and complex problem solving	40.755035164		All occ	35126.235533	3	All occupations	3	0
00-0000	Systems and complex problem solving	64.203302729		All occ	92424.31635	0	All occupations	4	0
00-0000	Systems and complex problem solving	58.026553704		All occ	71514.251427	1	All occupations	4	0
00-0000	Systems and complex problem solving	55.282897577		All occ	66023.168528	2	All occupations	4	0
00-0000	Systems and complex problem solving	47.965154677		All occ	55093.679347	3	All occupations	4	0
00-0000	Systems and complex problem solving	64.201288437		All occ	107008.05055	0	All occupations	5	0
00-0000	Systems and complex problem solving	60.299502222		All occ	80528.079591	1	All occupations	5	0
00-0000	Systems and complex problem solving	57.226317531		All occ	85304.759694	2	All occupations	5	0
00-0000	Systems and complex problem solving	53.29061347		All occ	65318.535898	3	All occupations	5	0
00-0000	Technical	34.226943596		All occ	30430.909012	0	All occupations	1	0
00-0000	Technical	25.73933955		All occ	22537.033439	1	All occupations	1	0
00-0000	Technical	14.677213492		All occ	19595.599979	2	All occupations	1	0
00-0000	Technical	7.5378561744		All occ	19739.983392	3	All occupations	1	0
00-0000	Technical	39.110019539		All occ	39017.31998	0	All occupations	2	0
00-0000	Technical	33.108119247		All occ	37369.072336	1	All occupations	2	0
00-0000	Technical	23.911998445		All occ	29220.63251	2	All occupations	2	0
00-0000	Technical	12.236762164		All occ	25714.104788	3	All occupations	2	0
00-0000	Technical	47.398716566		All occ	45870.773019	0	All occupations	3	0
00-0000	Technical	35.784281339		All occ	49319.210412	1	All occupations	3	0
00-0000	Technical	20.555757668		All occ	46292.046747	2	All occupations	3	0
00-0000	Technical	11.15227122		All occ	36513.505705	3	All occupations	3	0
00-0000	Technical	41.655446936		All occ	88975.614385	0	All occupations	4	0
00-0000	Technical	22.570923256		All occ	79087.279636	1	All occupations	4	0
00-0000	Technical	15.637404897		All occ	62132.285121	2	All occupations	4	0
00-0000	Technical	11.209756783		All occ	61302.493862	3	All occupations	4	0
00-0000	Technical	26.88749453		All occ	97648.209044	0	All occupations	5	0
00-0000	Technical	18.483972546		All occ	96041.556932	1	All occupations	5	0
00-0000	Technical	12.212029768		All occ	90709.453178	2	All occupations	5	0
00-0000	Technical	8.1056031896		All occ	67555.649588	3	All occupations	5	0
11-0000	Content	57.098077485	6936990	Management	98560	1	Management		2
11-0000	Process	62.659565744	6936990	Management	98560	0	Management		2
11-0000	Resource management	56.607970152	6936990	Management	98560	0	Management		2
11-0000	Social	59.699896343	6936990	Management	98560	0	Management		2
11-0000	Systems and complex problem solving	60.242085451	6936990	Management	98560	0	Management		2
11-0000	Technical	21.423431276	6936990	Management	98560	2	Management		2
11-1011	Content	61.461783149	238940	Management	175110	2	Chief Executives	5	1
11-1011	Process	67.915550628	238940	Management	175110	0	Chief Executives	5	1
11-1011	Resource management	64.794875829	238940	Management	175110	0	Chief Executives	5	1
11-1011	Social	63.876438237	238940	Management	175110	0	Chief Executives	5	1
11-1011	Systems and complex problem solving	72.625518808	238940	Management	175110	0	Chief Executives	5	1
11-1011	Technical	18.178072208	238940	Management	175110	1	Chief Executives	5	1
11-1021	Content	54.599584994	2145140	Management	97730	2	General and Operations Managers	4	1
11-1021	Process	61.787268775	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Resource management	58.875575654	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Social	60.196655949	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Systems and complex problem solving	56.224309716	2145140	Management	97730	2	General and Operations Managers	4	1
11-1021	Technical	21.216760445	2145140	Management	97730	1	General and Operations Managers	4	1
11-2011	Content	56.90329446	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2011	Process	60.661519965	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2011	Resource management	56.278313	29340	Management	95890	0	Advertising and Promotions Managers	4	1
11-2011	Social	59.548969225	29340	Management	95890	0	Advertising and Promotions Managers	4	1
11-2011	Systems and complex problem solving	60.317844066	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2011	Technical	15.225480576	29340	Management	95890	2	Advertising and Promotions Managers	4	1
11-2021	Content	56.78758313	192890	Management	128750	1	Marketing Managers	4	1
11-2021	Process	64.889717696	192890	Management	128750	0	Marketing Managers	4	1
11-2021	Resource management	55.842610624	192890	Management	128750	0	Marketing Managers	4	1
11-2021	Social	61.379657746	192890	Management	128750	0	Marketing Managers	4	1
11-2021	Systems and complex problem solving	62.265191111	192890	Management	128750	0	Marketing Managers	4	1
11-2021	Technical	14.385469932	192890	Management	128750	2	Marketing Managers	4	1
11-2022	Content	56.736718764	364750	Management	113860	1	Sales Managers	4	1
11-2022	Process	65.929163487	364750	Management	113860	0	Sales Managers	4	1
11-2022	Resource management	59.162821209	364750	Management	113860	0	Sales Managers	4	1
11-2022	Social	66.346246147	364750	Management	113860	0	Sales Managers	4	1
11-2022	Systems and complex problem solving	63.810878345	364750	Management	113860	0	Sales Managers	4	1
11-2022	Technical	19.002746007	364750	Management	113860	1	Sales Managers	4	1
11-2031	Content	58.971374078	60380	Management	104140	1	Public Relations and Fundraising Managers	4	1
11-2031	Process	61.271476702	60380	Management	104140	1	Public Relations and Fundraising Managers	4	1
11-2031	Resource management	57.169757141	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Social	63.938462092	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Systems and complex problem solving	63.01835447	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Technical	13.113558089	60380	Management	104140	3	Public Relations and Fundraising Managers	4	1
11-3011	Content	50.891018134	270080	Management	86110	1	Administrative Services Managers	3	1
11-3011	Process	55.394542839	270080	Management	86110	1	Administrative Services Managers	3	1
11-3011	Resource management	52.795475504	270080	Management	86110	0	Administrative Services Managers	3	1
11-3011	Social	57.031799722	270080	Management	86110	0	Administrative Services Managers	3	1
11-3011	Systems and complex problem solving	52.527995043	270080	Management	86110	0	Administrative Services Managers	3	1
11-3011	Technical	16.203001525	270080	Management	86110	3	Administrative Services Managers	3	1
11-3021	Content	56.804269727	341250	Management	131600	1	Computer and Information Systems Managers	4	1
11-3021	Process	62.005314752	341250	Management	131600	1	Computer and Information Systems Managers	4	1
11-3021	Resource management	56.206558596	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Social	58.608134855	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Systems and complex problem solving	62.253275285	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Technical	41.767903842	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3031	Content	57.598664505	531120	Management	117990	3	Financial Managers	5	1
11-3031	Process	66.052987889	531120	Management	117990	1	Financial Managers	5	1
11-3031	Resource management	57.647032906	531120	Management	117990	0	Financial Managers	5	1
11-3031	Social	58.71132117	531120	Management	117990	1	Financial Managers	5	1
11-3031	Systems and complex problem solving	63.492118283	531120	Management	117990	0	Financial Managers	5	1
11-3031	Technical	12.160053933	531120	Management	117990	2	Financial Managers	5	1
11-3051	Content	58.790644098	169390	Management	93940	1	Industrial Production Managers	4	1
11-3051	Process	63.615875713	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Resource management	59.786958322	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Social	56.71106097	169390	Management	93940	1	Industrial Production Managers	4	1
11-3051	Systems and complex problem solving	61.650790666	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Technical	38.198722277	169390	Management	93940	0	Industrial Production Managers	4	1
11-3061	Content	55.352391369	72600	Management	108120	2	Purchasing Managers	4	1
11-3061	Process	64.036549777	72600	Management	108120	0	Purchasing Managers	4	1
11-3061	Resource management	63.951068715	72600	Management	108120	0	Purchasing Managers	4	1
11-3061	Social	65.405768482	72600	Management	108120	0	Purchasing Managers	4	1
11-3061	Systems and complex problem solving	58.500178533	72600	Management	108120	1	Purchasing Managers	4	1
11-3061	Technical	19.355914454	72600	Management	108120	1	Purchasing Managers	4	1
11-3071	Content	53.972486822	109210	Management	86630	2	Transportation, Storage, and Distribution Managers	4	1
11-3071	Process	60.654504877	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Resource management	57.457544679	109210	Management	86630	0	Transportation, Storage, and Distribution Managers	4	1
11-3071	Social	57.658892059	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Systems and complex problem solving	57.756008501	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Technical	20.564064026	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3111	Content	54.45260688	15930	Management	111430	2	Compensation and Benefits Managers	4	1
11-3111	Process	57.890929671	15930	Management	111430	2	Compensation and Benefits Managers	4	1
11-3111	Resource management	52.535469225	15930	Management	111430	0	Compensation and Benefits Managers	4	1
11-3111	Social	54.338603178	15930	Management	111430	2	Compensation and Benefits Managers	4	1
11-3111	Systems and complex problem solving	58.071966454	15930	Management	111430	1	Compensation and Benefits Managers	4	1
11-3111	Technical	10.999814733	15930	Management	111430	3	Compensation and Benefits Managers	4	1
11-3121	Content	58.718869713	122780	Management	104440	1	Human Resources Managers	4	1
11-3121	Process	65.269640293	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Resource management	60.942442809	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Social	64.879134269	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Systems and complex problem solving	64.591730369	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Technical	14.64028841	122780	Management	104440	2	Human Resources Managers	4	1
11-3131	Content	57.737202557	31430	Management	102640	1	Training and Development Managers	4	1
11-3131	Process	71.660928917	31430	Management	102640	0	Training and Development Managers	4	1
