SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	Education and training	58.340118716		All occ	79959.059964	1	All occupations	4	0
00-0000	Education and training	51.589438482		All occ	74433.921986	2	All occupations	4	0
00-0000	Education and training	42.273468863		All occ	67409.991849	3	All occupations	4	0
00-0000	Education and training	91.730406989		All occ	76375.688676	0	All occupations	5	0
00-0000	Education and training	78.468716173		All occ	64732.407427	1	All occupations	5	0
00-0000	Education and training	68.013756078		All occ	98926.065842	2	All occupations	5	0
00-0000	Education and training	50.30606332		All occ	107849.41674	3	All occupations	5	0
00-0000	Engineering and technology	37.452448773		All occ	26635.130124	0	All occupations	1	0
00-0000	Engineering and technology	26.413617571		All occ	22829.177624	1	All occupations	1	0
00-0000	Engineering and technology	22.082211047		All occ	19386.045109	2	All occupations	1	0
00-0000	Engineering and technology	16.905552395		All occ	19699.959458	3	All occupations	1	0
00-0000	Engineering and technology	52.85649395		All occ	40596.295254	0	All occupations	2	0
00-0000	Engineering and technology	38.45423863		All occ	35156.633229	1	All occupations	2	0
00-0000	Engineering and technology	27.770405948		All occ	28348.027859	2	All occupations	2	0
00-0000	Engineering and technology	17.957615083		All occ	26561.706081	3	All occupations	2	0
00-0000	Engineering and technology	63.194777562		All occ	53211.961387	0	All occupations	3	0
00-0000	Engineering and technology	49.281971292		All occ	42375.822593	1	All occupations	3	0
00-0000	Engineering and technology	30.625908647		All occ	50836.538891	2	All occupations	3	0
00-0000	Engineering and technology	20.94790155		All occ	35558.974198	3	All occupations	3	0
00-0000	Engineering and technology	63.969964954		All occ	85383.208427	0	All occupations	4	0
00-0000	Engineering and technology	45.984583291		All occ	85780.982905	1	All occupations	4	0
00-0000	Engineering and technology	30.363212148		All occ	65343.73341	2	All occupations	4	0
00-0000	Engineering and technology	21.333483871		All occ	55423.050895	3	All occupations	4	0
00-0000	Engineering and technology	53.196044833		All occ	108818.68628	0	All occupations	5	0
00-0000	Engineering and technology	36.286485456		All occ	78690.137634	1	All occupations	5	0
00-0000	Engineering and technology	27.032412799		All occ	91512.223609	2	All occupations	5	0
00-0000	Engineering and technology	20.542831733		All occ	84417.489083	3	All occupations	5	0
00-0000	Health services	23.163176069		All occ	22076.591442	0	All occupations	1	0
00-0000	Health services	19.790816477		All occ	19434.033023	1	All occupations	1	0
00-0000	Health services	13.891183426		All occ	19581.5829	2	All occupations	1	0
00-0000	Health services	11.108933068		All occ	23255.321027	3	All occupations	1	0
00-0000	Health services	33.907870121		All occ	30447.067264	0	All occupations	2	0
00-0000	Health services	18.429557543		All occ	28338.361724	1	All occupations	2	0
00-0000	Health services	12.625661058		All occ	28946.592852	2	All occupations	2	0
00-0000	Health services	6.6606437846		All occ	31963.670003	3	All occupations	2	0
00-0000	Health services	44.663196946		All occ	37116.87721	0	All occupations	3	0
00-0000	Health services	23.188233524		All occ	46163.758476	1	All occupations	3	0
00-0000	Health services	16.025336285		All occ	45619.465181	2	All occupations	3	0
00-0000	Health services	8.3265092972		All occ	43020.259354	3	All occupations	3	0
00-0000	Health services	51.18478563		All occ	59515.697533	0	All occupations	4	0
00-0000	Health services	23.869280888		All occ	81646.697995	1	All occupations	4	0
00-0000	Health services	15.285881973		All occ	77490.485195	2	All occupations	4	0
00-0000	Health services	8.3746227906		All occ	71293.239041	3	All occupations	4	0
00-0000	Health services	73.25275319		All occ	88422.644461	0	All occupations	5	0
00-0000	Health services	51.016769375		All occ	78771.238482	1	All occupations	5	0
00-0000	Health services	27.767361849		All occ	84970.214656	2	All occupations	5	0
00-0000	Health services	16.491777022		All occ	110792.39714	3	All occupations	5	0
00-0000	Law and public safety	42.7927622		All occ	24958.800149	0	All occupations	1	0
00-0000	Law and public safety	33.308560043		All occ	19887.078665	1	All occupations	1	0
00-0000	Law and public safety	29.941322609		All occ	20044.532948	2	All occupations	1	0
00-0000	Law and public safety	23.543223787		All occ	20216.12425	3	All occupations	1	0
00-0000	Law and public safety	50.822652014		All occ	35517.283938	0	All occupations	2	0
00-0000	Law and public safety	38.888540406		All occ	30758.938822	1	All occupations	2	0
00-0000	Law and public safety	32.189618601		All occ	26215.889622	2	All occupations	2	0
00-0000	Law and public safety	23.285343172		All occ	27665.381181	3	All occupations	2	0
00-0000	Law and public safety	60.41568184		All occ	52320.734198	0	All occupations	3	0
00-0000	Law and public safety	42.804901929		All occ	42384.933116	1	All occupations	3	0
00-0000	Law and public safety	36.293174905		All occ	37515.910094	2	All occupations	3	0
00-0000	Law and public safety	27.449950558		All occ	40433.98182	3	All occupations	3	0
00-0000	Law and public safety	58.973162483		All occ	76855.588732	0	All occupations	4	0
00-0000	Law and public safety	48.073181464		All occ	70080.253925	1	All occupations	4	0
00-0000	Law and public safety	40.225421818		All occ	69495.71616	2	All occupations	4	0
00-0000	Law and public safety	28.397415475		All occ	71309.376789	3	All occupations	4	0
00-0000	Law and public safety	58.67496712		All occ	103771.9321	0	All occupations	5	0
00-0000	Law and public safety	45.598287541		All occ	87940.276466	1	All occupations	5	0
00-0000	Law and public safety	41.712389951		All occ	83355.9633	2	All occupations	5	0
00-0000	Law and public safety	30.273541191		All occ	67315.56893	3	All occupations	5	0
00-0000	Manufacturing, production, and transportation	39.5979533		All occ	19421.86891	0	All occupations	1	0
00-0000	Manufacturing, production, and transportation	35.370323429		All occ	20398.738335	1	All occupations	1	0
00-0000	Manufacturing, production, and transportation	28.149940143		All occ	22881.995179	2	All occupations	1	0
00-0000	Manufacturing, production, and transportation	22.004700923		All occ	19721.507792	3	All occupations	1	0
00-0000	Manufacturing, production, and transportation	42.662462883		All occ	33447.955132	0	All occupations	2	0
00-0000	Manufacturing, production, and transportation	31.991944674		All occ	31403.33837	1	All occupations	2	0
00-0000	Manufacturing, production, and transportation	27.962887087		All occ	25645.483379	2	All occupations	2	0
00-0000	Manufacturing, production, and transportation	16.62968201		All occ	28751.455323	3	All occupations	2	0
00-0000	Manufacturing, production, and transportation	40.190136985		All occ	49817.48656	0	All occupations	3	0
00-0000	Manufacturing, production, and transportation	29.186037583		All occ	46410.42351	1	All occupations	3	0
00-0000	Manufacturing, production, and transportation	24.38435704		All occ	39665.51392	2	All occupations	3	0
00-0000	Manufacturing, production, and transportation	16.116210874		All occ	39574.010465	3	All occupations	3	0
00-0000	Manufacturing, production, and transportation	38.2794898		All occ	80695.439237	0	All occupations	4	0
00-0000	Manufacturing, production, and transportation	29.006887716		All occ	73985.634628	1	All occupations	4	0
00-0000	Manufacturing, production, and transportation	22.384194438		All occ	65721.313798	2	All occupations	4	0
00-0000	Manufacturing, production, and transportation	14.840114934		All occ	67142.388865	3	All occupations	4	0
00-0000	Manufacturing, production, and transportation	33.266238708		All occ	99276.825662	0	All occupations	5	0
00-0000	Manufacturing, production, and transportation	23.065893213		All occ	85595.353401	1	All occupations	5	0
00-0000	Manufacturing, production, and transportation	18.758866175		All occ	83307.860509	2	All occupations	5	0
00-0000	Manufacturing, production, and transportation	11.684028835		All occ	92436.278102	3	All occupations	5	0
00-0000	Mathematics and science	30.054954294		All occ	25924.375398	0	All occupations	1	0
00-0000	Mathematics and science	25.78207024		All occ	19529.313523	1	All occupations	1	0
00-0000	Mathematics and science	21.606261744		All occ	20009.178161	2	All occupations	1	0
00-0000	Mathematics and science	18.826349937		All occ	20607.00943	3	All occupations	1	0
00-0000	Mathematics and science	33.354620756		All occ	35501.365311	0	All occupations	2	0
00-0000	Mathematics and science	27.451181367		All occ	28151.178366	1	All occupations	2	0
00-0000	Mathematics and science	22.581937097		All occ	28189.962382	2	All occupations	2	0
00-0000	Mathematics and science	17.68661796		All occ	28086.450566	3	All occupations	2	0
00-0000	Mathematics and science	43.79761148		All occ	51738.260244	0	All occupations	3	0
00-0000	Mathematics and science	34.56827016		All occ	37954.180205	1	All occupations	3	0
00-0000	Mathematics and science	29.744211431		All occ	42421.312903	2	All occupations	3	0
00-0000	Mathematics and science	21.417727906		All occ	42189.051324	3	All occupations	3	0
00-0000	Mathematics and science	50.52690514		All occ	66251.44307	0	All occupations	4	0
00-0000	Mathematics and science	39.873069427		All occ	66963.970019	1	All occupations	4	0
00-0000	Mathematics and science	33.383678084		All occ	75981.625504	2	All occupations	4	0
00-0000	Mathematics and science	23.456557322		All occ	71222.197256	3	All occupations	4	0
00-0000	Mathematics and science	58.607387733		All occ	102533.1159	0	All occupations	5	0
00-0000	Mathematics and science	49.455760134		All occ	92599.39183	1	All occupations	5	0
00-0000	Mathematics and science	42.717316559		All occ	80400.843246	2	All occupations	5	0
00-0000	Mathematics and science	32.224001968		All occ	92691.230375	3	All occupations	5	0
11-0000	Arts and humanities	30.475114927	6936990	Management	98560	1	Management		2
11-0000	Business and management	61.498898018	6936990	Management	98560	0	Management		2
11-0000	Communications	40.173492431	6936990	Management	98560	0	Management		2
11-0000	Education and training	62.702371977	6936990	Management	98560	0	Management		2
11-0000	Engineering and technology	40.284417888	6936990	Management	98560	0	Management		2
11-0000	Health services	26.359357586	6936990	Management	98560	1	Management		2
11-0000	Law and public safety	51.028854652	6936990	Management	98560	0	Management		2
11-0000	Manufacturing, production, and transportation	33.960355739	6936990	Management	98560	0	Management		2
11-0000	Mathematics and science	38.516254019	6936990	Management	98560	0	Management		2
11-1011	Arts and humanities	33.642996895	238940	Management	175110	2	Chief Executives	5	1
11-1011	Business and management	67.072915411	238940	Management	175110	0	Chief Executives	5	1
11-1011	Communications	36.727603139	238940	Management	175110	2	Chief Executives	5	1
11-1011	Education and training	68.009150232	238940	Management	175110	2	Chief Executives	5	1
11-1011	Engineering and technology	46.082674593	238940	Management	175110	0	Chief Executives	5	1
11-1011	Health services	20.532012218	238940	Management	175110	3	Chief Executives	5	1
11-1011	Law and public safety	55.939908386	238940	Management	175110	0	Chief Executives	5	1
11-1011	Manufacturing, production, and transportation	32.772832737	238940	Management	175110	0	Chief Executives	5	1
11-1011	Mathematics and science	42.168997041	238940	Management	175110	2	Chief Executives	5	1
11-1021	Arts and humanities	25.874663383	2145140	Management	97730	2	General and Operations Managers	4	1
11-1021	Business and management	68.500989606	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Communications	42.664395457	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Education and training	57.305945268	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Engineering and technology	46.999894931	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Health services	23.436753116	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Law and public safety	51.92453025	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Manufacturing, production, and transportation	38.879003576	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Mathematics and science	34.900230928	2145140	Management	97730	2	General and Operations Managers	4	1
11-2011	Arts and humanities	38.973543707	29340	Management	95890	0	Advertising and Promotions Managers	4	1
11-2011	Business and management	58.977955821	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2011	Communications	65.707102002	29340	Management	95890	0	Advertising and Promotions Managers	4	1
11-2011	Education and training	44.382750774	29340	Management	95890	3	Advertising and Promotions Managers	4	1
11-2011	Engineering and technology	30.36980206	29340	Management	95890	2	Advertising and Promotions Managers	4	1
11-2011	Health services	7.091242081	29340	Management	95890	3	Advertising and Promotions Managers	4	1
11-2011	Law and public safety	27.65575747	29340	Management	95890	3	Advertising and Promotions Managers	4	1
11-2011	Manufacturing, production, and transportation	30.642920243	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2011	Mathematics and science	25.408129933	29340	Management	95890	3	Advertising and Promotions Managers	4	1
11-2021	Arts and humanities	35.333238794	192890	Management	128750	1	Marketing Managers	4	1
11-2021	Business and management	67.572019759	192890	Management	128750	0	Marketing Managers	4	1
11-2021	Communications	56.672625076	192890	Management	128750	0	Marketing Managers	4	1
11-2021	Education and training	59.93925537	192890	Management	128750	1	Marketing Managers	4	1
11-2021	Engineering and technology	38.148587048	192890	Management	128750	2	Marketing Managers	4	1
11-2021	Health services	17.60971794	192890	Management	128750	2	Marketing Managers	4	1
11-2021	Law and public safety	44.55451459	192890	Management	128750	1	Marketing Managers	4	1
11-2021	Manufacturing, production, and transportation	27.289444763	192890	Management	128750	1	Marketing Managers	4	1
11-2021	Mathematics and science	31.445047735	192890	Management	128750	2	Marketing Managers	4	1
11-2022	Arts and humanities	26.921164997	364750	Management	113860	2	Sales Managers	4	1
11-2022	Business and management	70.16430977	364750	Management	113860	0	Sales Managers	4	1
11-2022	Communications	41.806015846	364750	Management	113860	1	Sales Managers	4	1
11-2022	Education and training	63.679555845	364750	Management	113860	0	Sales Managers	4	1
11-2022	Engineering and technology	28.279484998	364750	Management	113860	2	Sales Managers	4	1
11-2022	Health services	19.668991798	364750	Management	113860	1	Sales Managers	4	1
11-2022	Law and public safety	35.972792227	364750	Management	113860	2	Sales Managers	4	1
11-2022	Manufacturing, production, and transportation	23.098779849	364750	Management	113860	2	Sales Managers	4	1
11-2022	Mathematics and science	34.184197347	364750	Management	113860	2	Sales Managers	4	1
11-2031	Arts and humanities	37.036840266	60380	Management	104140	1	Public Relations and Fundraising Managers	4	1
11-2031	Business and management	69.525634953	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Communications	58.341312486	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Education and training	51.264022948	60380	Management	104140	2	Public Relations and Fundraising Managers	4	1
11-2031	Engineering and technology	23.228843068	60380	Management	104140	3	Public Relations and Fundraising Managers	4	1
11-2031	Health services	20.930675409	60380	Management	104140	1	Public Relations and Fundraising Managers	4	1
11-2031	Law and public safety	36.563849449	60380	Management	104140	2	Public Relations and Fundraising Managers	4	1
11-2031	Manufacturing, production, and transportation	19.457720575	60380	Management	104140	2	Public Relations and Fundraising Managers	4	1
11-2031	Mathematics and science	22.869430172	60380	Management	104140	3	Public Relations and Fundraising Managers	4	1
11-3011	Arts and humanities	25.206094247	270080	Management	86110	1	Administrative Services Managers	3	1
11-3011	Business and management	68.983079176	270080	Management	86110	0	Administrative Services Managers	3	1
11-3011	Communications	37.723783958	270080	Management	86110	1	Administrative Services Managers	3	1
11-3011	Education and training	42.14261515	270080	Management	86110	3	Administrative Services Managers	3	1
11-3011	Engineering and technology	33.021010493	270080	Management	86110	2	Administrative Services Managers	3	1
11-3011	Health services	18.533365615	270080	Management	86110	1	Administrative Services Managers	3	1
11-3011	Law and public safety	36.374956192	270080	Management	86110	2	Administrative Services Managers	3	1
11-3011	Manufacturing, production, and transportation	29.454242628	270080	Management	86110	1	Administrative Services Managers	3	1
11-3011	Mathematics and science	24.692411767	270080	Management	86110	3	Administrative Services Managers	3	1
11-3021	Arts and humanities	20.616562165	341250	Management	131600	3	Computer and Information Systems Managers	4	1
11-3021	Business and management	60.714757084	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Communications	52.680669704	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Education and training	50.776821011	341250	Management	131600	2	Computer and Information Systems Managers	4	1
11-3021	Engineering and technology	43.780216411	341250	Management	131600	1	Computer and Information Systems Managers	4	1
11-3021	Health services	19.475967058	341250	Management	131600	2	Computer and Information Systems Managers	4	1
11-3021	Law and public safety	33.06868012	341250	Management	131600	3	Computer and Information Systems Managers	4	1
11-3021	Manufacturing, production, and transportation	30.879366068	341250	Management	131600	1	Computer and Information Systems Managers	4	1
11-3021	Mathematics and science	25.181769094	341250	Management	131600	3	Computer and Information Systems Managers	4	1
11-3031	Arts and humanities	24.03119727	531120	Management	117990	3	Financial Managers	5	1
11-3031	Business and management	61.728676379	531120	Management	117990	0	Financial Managers	5	1
11-3031	Communications	33.823850812	531120	Management	117990	3	Financial Managers	5	1
11-3031	Education and training	48.319883361	531120	Management	117990	3	Financial Managers	5	1
11-3031	Engineering and technology	25.436434582	531120	Management	117990	2	Financial Managers	5	1
11-3031	Health services	15.702315215	531120	Management	117990	3	Financial Managers	5	1
11-3031	Law and public safety	44.895919679	531120	Management	117990	1	Financial Managers	5	1
11-3031	Manufacturing, production, and transportation	19.057223178	531120	Management	117990	2	Financial Managers	5	1
11-3031	Mathematics and science	27.018651119	531120	Management	117990	3	Financial Managers	5	1
11-3051	Arts and humanities	23.823226849	169390	Management	93940	3	Industrial Production Managers	4	1
11-3051	Business and management	57.257800094	169390	Management	93940	1	Industrial Production Managers	4	1
11-3051	Communications	34.345708389	169390	Management	93940	2	Industrial Production Managers	4	1
11-3051	Education and training	68.197389054	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Engineering and technology	56.763177659	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Health services	27.160379576	169390	Management	93940	1	Industrial Production Managers	4	1
11-3051	Law and public safety	53.912512854	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Manufacturing, production, and transportation	44.411185684	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Mathematics and science	45.53636823	169390	Management	93940	0	Industrial Production Managers	4	1
11-3061	Arts and humanities	32.030405422	72600	Management	108120	1	Purchasing Managers	4	1
11-3061	Business and management	63.192980797	72600	Management	108120	0	Purchasing Managers	4	1
11-3061	Communications	40.905441442	72600	Management	108120	1	Purchasing Managers	4	1
11-3061	Education and training	50.398412295	72600	Management	108120	2	Purchasing Managers	4	1
11-3061	Engineering and technology	48.7837145	72600	Management	108120	1	Purchasing Managers	4	1
11-3061	Health services	15.787320565	72600	Management	108120	2	Purchasing Managers	4	1
11-3061	Law and public safety	51.202976508	72600	Management	108120	1	Purchasing Managers	4	1
11-3061	Manufacturing, production, and transportation	51.31865294	72600	Management	108120	0	Purchasing Managers	4	1
11-3061	Mathematics and science	40.533401727	72600	Management	108120	1	Purchasing Managers	4	1
11-3071	Arts and humanities	24.355340755	109210	Management	86630	3	Transportation, Storage, and Distribution Managers	4	1
11-3071	Business and management	60.010450801	109210	Management	86630	0	Transportation, Storage, and Distribution Managers	4	1
11-3071	Communications	36.006365703	109210	Management	86630	2	Transportation, Storage, and Distribution Managers	4	1
11-3071	Education and training	58.128426825	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Engineering and technology	38.79986253	109210	Management	86630	2	Transportation, Storage, and Distribution Managers	4	1
11-3071	Health services	19.92965782	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Law and public safety	52.417352262	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Manufacturing, production, and transportation	50.823004409	109210	Management	86630	0	Transportation, Storage, and Distribution Managers	4	1
11-3071	Mathematics and science	35.233224286	109210	Management	86630	2	Transportation, Storage, and Distribution Managers	4	1
11-3111	Arts and humanities	25.675174699	15930	Management	111430	2	Compensation and Benefits Managers	4	1
11-3111	Business and management	59.884944232	15930	Management	111430	0	Compensation and Benefits Managers	4	1
11-3111	Communications	29.849894726	15930	Management	111430	3	Compensation and Benefits Managers	4	1
11-3111	Education and training	52.718117412	15930	Management	111430	2	Compensation and Benefits Managers	4	1
11-3111	Engineering and technology	10.894972248	15930	Management	111430	3	Compensation and Benefits Managers	4	1
11-3111	Health services	23.368270676	15930	Management	111430	1	Compensation and Benefits Managers	4	1
11-3111	Law and public safety	40.146310995	15930	Management	111430	2	Compensation and Benefits Managers	4	1
