SOCCode	Element_ID	Element_Name	average_scale	TOT_EMP	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
13-1199	2.C.3.b	Engineering and Technology	46.859659903	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-1199	2.C.3.c	Design	47.883553577	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-1199	2.C.3.d	Building and Construction	46.372211722	926,610	Business and financial operations	68170	0	Business Operations Specialists, All Other	4	1
13-1199	2.C.3.e	Mechanical	38.242132525	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-1199	2.C.4.a	Mathematics	57.408096666	926,610	Business and financial operations	68170	2	Business Operations Specialists, All Other	4	1
13-1199	2.C.4.b	Physics	31.553125562	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-1199	2.C.4.c	Chemistry	25.309375461	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-1199	2.C.4.d	Biology	20.691197228	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-1199	2.C.4.e	Psychology	37.391481806	926,610	Business and financial operations	68170	2	Business Operations Specialists, All Other	4	1
13-1199	2.C.4.f	Sociology and Anthropology	29.219211006	926,610	Business and financial operations	68170	2	Business Operations Specialists, All Other	4	1
13-1199	2.C.4.g	Geography	42.889997377	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-1199	2.C.5.a	Medicine and Dentistry	13.859233191	926,610	Business and financial operations	68170	2	Business Operations Specialists, All Other	4	1
13-1199	2.C.5.b	Therapy and Counseling	13.77351715	926,610	Business and financial operations	68170	2	Business Operations Specialists, All Other	4	1
13-1199	2.C.6	Education and Training	56.601497229	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-1199	2.C.7.a	English Language	69.601159931	926,610	Business and financial operations	68170	2	Business Operations Specialists, All Other	4	1
13-1199	2.C.7.b	Foreign Language	22.370679329	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-1199	2.C.7.c	Fine Arts	11.312340382	926,610	Business and financial operations	68170	2	Business Operations Specialists, All Other	4	1
13-1199	2.C.7.d	History and Archeology	16.184393118	926,610	Business and financial operations	68170	2	Business Operations Specialists, All Other	4	1
13-1199	2.C.7.e	Philosophy and Theology	18.069400483	926,610	Business and financial operations	68170	2	Business Operations Specialists, All Other	4	1
13-1199	2.C.8.a	Public Safety and Security	47.871896196	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-1199	2.C.8.b	Law and Government	48.288906047	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-1199	2.C.9.a	Telecommunications	36.984792216	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-1199	2.C.9.b	Communications and Media	46.119244262	926,610	Business and financial operations	68170	1	Business Operations Specialists, All Other	4	1
13-2011	2.C.1.a	Administration and Management	65.0705302	1,226,910	Business and financial operations	67190	1	Accountants and Auditors	4	1
13-2011	2.C.1.b	Clerical	59.897277382	1,226,910	Business and financial operations	67190	1	Accountants and Auditors	4	1
13-2011	2.C.1.c	Economics and Accounting	83.673851356	1,226,910	Business and financial operations	67190	0	Accountants and Auditors	4	1
13-2011	2.C.1.d	Sales and Marketing	37.182471801	1,226,910	Business and financial operations	67190	2	Accountants and Auditors	4	1
13-2011	2.C.1.e	Customer and Personal Service	58.233883857	1,226,910	Business and financial operations	67190	2	Accountants and Auditors	4	1
13-2011	2.C.1.f	Personnel and Human Resources	52.059672703	1,226,910	Business and financial operations	67190	1	Accountants and Auditors	4	1
13-2011	2.C.10	Transportation	24.175035777	1,226,910	Business and financial operations	67190	2	Accountants and Auditors	4	1
13-2011	2.C.2.a	Production and Processing	35.541684243	1,226,910	Business and financial operations	67190	2	Accountants and Auditors	4	1
13-2011	2.C.2.b	Food Production	11.850803062	1,226,910	Business and financial operations	67190	1	Accountants and Auditors	4	1
13-2011	2.C.3.a	Computers and Electronics	65.657577027	1,226,910	Business and financial operations	67190	1	Accountants and Auditors	4	1
