SOCCode	Element_ID	Element_Name	average_scale	TOT_EMP	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
13-2051	2.C.2.b	Food Production	0	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.3.a	Computers and Electronics	63.896793019	268,360	Business and financial operations	80310	1	Financial Analysts	4	1
13-2051	2.C.3.b	Engineering and Technology	15.46424467	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.3.c	Design	14.620923914	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.3.d	Building and Construction	6.0285034933	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.3.e	Mechanical	4.5607016265	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.4.a	Mathematics	77.6232641	268,360	Business and financial operations	80310	0	Financial Analysts	4	1
13-2051	2.C.4.b	Physics	6.5115280765	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.4.c	Chemistry	10.074011779	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.4.d	Biology	7.6569297386	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.4.e	Psychology	30.064217513	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.4.f	Sociology and Anthropology	26.743223109	268,360	Business and financial operations	80310	2	Financial Analysts	4	1
13-2051	2.C.4.g	Geography	18.381668154	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.5.a	Medicine and Dentistry	7.2427305275	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.5.b	Therapy and Counseling	11.563489358	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.6	Education and Training	57.990148368	268,360	Business and financial operations	80310	1	Financial Analysts	4	1
13-2051	2.C.7.a	English Language	78.00659332	268,360	Business and financial operations	80310	0	Financial Analysts	4	1
13-2051	2.C.7.b	Foreign Language	26.698314262	268,360	Business and financial operations	80310	1	Financial Analysts	4	1
13-2051	2.C.7.c	Fine Arts	13.46954226	268,360	Business and financial operations	80310	1	Financial Analysts	4	1
13-2051	2.C.7.d	History and Archeology	25.074175858	268,360	Business and financial operations	80310	1	Financial Analysts	4	1
13-2051	2.C.7.e	Philosophy and Theology	26.363936437	268,360	Business and financial operations	80310	1	Financial Analysts	4	1
13-2051	2.C.8.a	Public Safety and Security	24.68081906	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.8.b	Law and Government	62.276800193	268,360	Business and financial operations	80310	0	Financial Analysts	4	1
13-2051	2.C.9.a	Telecommunications	21.633307678	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.9.b	Communications and Media	42.756452679	268,360	Business and financial operations	80310	2	Financial Analysts	4	1
13-2052	2.C.1.a	Administration and Management	67.220530647	197,580	Business and financial operations	89160	0	Personal Financial Advisors	4	1
13-2052	2.C.1.b	Clerical	61.342130941	197,580	Business and financial operations	89160	1	Personal Financial Advisors	4	1
13-2052	2.C.1.c	Economics and Accounting	77.131430631	197,580	Business and financial operations	89160	0	Personal Financial Advisors	4	1
13-2052	2.C.1.d	Sales and Marketing	69.988571787	197,580	Business and financial operations	89160	0	Personal Financial Advisors	4	1
13-2052	2.C.1.e	Customer and Personal Service	80.018569459	197,580	Business and financial operations	89160	0	Personal Financial Advisors	4	1
13-2052	2.C.1.f	Personnel and Human Resources	53.783692482	197,580	Business and financial operations	89160	0	Personal Financial Advisors	4	1
13-2052	2.C.10	Transportation	12.040407989	197,580	Business and financial operations	89160	3	Personal Financial Advisors	4	1
13-2052	2.C.2.a	Production and Processing	37.958247629	197,580	Business and financial operations	89160	1	Personal Financial Advisors	4	1
13-2052	2.C.2.b	Food Production	0	197,580	Business and financial operations	89160	3	Personal Financial Advisors	4	1
13-2052	2.C.3.a	Computers and Electronics	61.33095199	197,580	Business and financial operations	89160	2	Personal Financial Advisors	4	1
13-2052	2.C.3.b	Engineering and Technology	16.79200456	197,580	Business and financial operations	89160	3	Personal Financial Advisors	4	1
13-2052	2.C.3.c	Design	25.083858581	197,580	Business and financial operations	89160	2	Personal Financial Advisors	4	1
13-2052	2.C.3.d	Building and Construction	6.5421710678	197,580	Business and financial operations	89160	3	Personal Financial Advisors	4	1
13-2052	2.C.3.e	Mechanical	10.209239335	197,580	Business and financial operations	89160	3	Personal Financial Advisors	4	1
13-2052	2.C.4.a	Mathematics	69.312336197	197,580	Business and financial operations	89160	1	Personal Financial Advisors	4	1
13-2052	2.C.4.b	Physics	8.9042526529	197,580	Business and financial operations	89160	3	Personal Financial Advisors	4	1
13-2052	2.C.4.c	Chemistry	0	197,580	Business and financial operations	89160	3	Personal Financial Advisors	4	1
13-2052	2.C.4.d	Biology	0	197,580	Business and financial operations	89160	3	Personal Financial Advisors	4	1
13-2052	2.C.4.e	Psychology	59.935678927	197,580	Business and financial operations	89160	0	Personal Financial Advisors	4	1
13-2052	2.C.4.f	Sociology and Anthropology	38.788068141	197,580	Business and financial operations	89160	1	Personal Financial Advisors	4	1
13-2052	2.C.4.g	Geography	24.580480715	197,580	Business and financial operations	89160	2	Personal Financial Advisors	4	1
13-2052	2.C.5.a	Medicine and Dentistry	11.338934416	197,580	Business and financial operations	89160	2	Personal Financial Advisors	4	1
13-2052	2.C.5.b	Therapy and Counseling	45.747756126	197,580	Business and financial operations	89160	0	Personal Financial Advisors	4	1
13-2052	2.C.6	Education and Training	60.757127361	197,580	Business and financial operations	89160	1	Personal Financial Advisors	4	1
13-2052	2.C.7.a	English Language	66.802695203	197,580	Business and financial operations	89160	2	Personal Financial Advisors	4	1
13-2052	2.C.7.b	Foreign Language	17.915675452	197,580	Business and financial operations	89160	2	Personal Financial Advisors	4	1
13-2052	2.C.7.c	Fine Arts	13.14751491	197,580	Business and financial operations	89160	1	Personal Financial Advisors	4	1
13-2052	2.C.7.d	History and Archeology	29.819457498	197,580	Business and financial operations	89160	1	Personal Financial Advisors	4	1
13-2052	2.C.7.e	Philosophy and Theology	39.171054329	197,580	Business and financial operations	89160	0	Personal Financial Advisors	4	1
13-2052	2.C.8.a	Public Safety and Security	26.810978	197,580	Business and financial operations	89160	3	Personal Financial Advisors	4	1
13-2052	2.C.8.b	Law and Government	58.95736964	197,580	Business and financial operations	89160	0	Personal Financial Advisors	4	1
13-2052	2.C.9.a	Telecommunications	30.153891866	197,580	Business and financial operations	89160	2	Personal Financial Advisors	4	1
13-2052	2.C.9.b	Communications and Media	42.257712736	197,580	Business and financial operations	89160	2	Personal Financial Advisors	4	1
13-2053	2.C.1.a	Administration and Management	52.2466679	89,960	Business and financial operations	65040	2	Insurance Underwriters	4	1
13-2053	2.C.1.b	Clerical	59.329587162	89,960	Business and financial operations	65040	1	Insurance Underwriters	4	1
13-2053	2.C.1.c	Economics and Accounting	48.049974463	89,960	Business and financial operations	65040	1	Insurance Underwriters	4	1
13-2053	2.C.1.d	Sales and Marketing	48.726642588	89,960	Business and financial operations	65040	1	Insurance Underwriters	4	1
13-2053	2.C.1.e	Customer and Personal Service	65.038450313	89,960	Business and financial operations	65040	2	Insurance Underwriters	4	1
13-2053	2.C.1.f	Personnel and Human Resources	36.087195814	89,960	Business and financial operations	65040	2	Insurance Underwriters	4	1
13-2053	2.C.10	Transportation	12.727921975	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.2.a	Production and Processing	31.8370851	89,960	Business and financial operations	65040	2	Insurance Underwriters	4	1
13-2053	2.C.2.b	Food Production	0	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.3.a	Computers and Electronics	53.102597709	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.3.b	Engineering and Technology	11.556074487	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.3.c	Design	13.77575548	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.3.d	Building and Construction	4.8755950579	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.3.e	Mechanical	0	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.4.a	Mathematics	61.661749451	89,960	Business and financial operations	65040	2	Insurance Underwriters	4	1
13-2053	2.C.4.b	Physics	0	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.4.c	Chemistry	3.4475663277	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.4.d	Biology	39.266853402	89,960	Business and financial operations	65040	0	Insurance Underwriters	4	1
13-2053	2.C.4.e	Psychology	48.603350838	89,960	Business and financial operations	65040	1	Insurance Underwriters	4	1
13-2053	2.C.4.f	Sociology and Anthropology	28.584711135	89,960	Business and financial operations	65040	2	Insurance Underwriters	4	1
13-2053	2.C.4.g	Geography	32.776298015	89,960	Business and financial operations	65040	2	Insurance Underwriters	4	1
13-2053	2.C.5.a	Medicine and Dentistry	69.893796819	89,960	Business and financial operations	65040	0	Insurance Underwriters	4	1
13-2053	2.C.5.b	Therapy and Counseling	44.078501647	89,960	Business and financial operations	65040	0	Insurance Underwriters	4	1
13-2053	2.C.6	Education and Training	58.052193757	89,960	Business and financial operations	65040	1	Insurance Underwriters	4	1
13-2053	2.C.7.a	English Language	68.961271492	89,960	Business and financial operations	65040	2	Insurance Underwriters	4	1
13-2053	2.C.7.b	Foreign Language	19.931310832	89,960	Business and financial operations	65040	2	Insurance Underwriters	4	1
13-2053	2.C.7.c	Fine Arts	0	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.7.d	History and Archeology	7.7974354435	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.7.e	Philosophy and Theology	14.999047534	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.8.a	Public Safety and Security	13.46954226	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.8.b	Law and Government	44.859781035	89,960	Business and financial operations	65040	2	Insurance Underwriters	4	1
13-2053	2.C.9.a	Telecommunications	20.174240882	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2053	2.C.9.b	Communications and Media	29.262360258	89,960	Business and financial operations	65040	3	Insurance Underwriters	4	1
13-2061	2.C.1.a	Administration and Management	66.823434975	44,200	Business and financial operations	78010	1	Financial Examiners	4	1
13-2061	2.C.1.b	Clerical	53.280925835	44,200	Business and financial operations	78010	2	Financial Examiners	4	1
13-2061	2.C.1.c	Economics and Accounting	77.82764631	44,200	Business and financial operations	78010	0	Financial Examiners	4	1
13-2061	2.C.1.d	Sales and Marketing	24.255779908	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.1.e	Customer and Personal Service	53.665630292	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.1.f	Personnel and Human Resources	32.44687994	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.10	Transportation	27.959153335	44,200	Business and financial operations	78010	2	Financial Examiners	4	1
13-2061	2.C.2.a	Production and Processing	19.873888282	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.2.b	Food Production	5.9713600421	44,200	Business and financial operations	78010	2	Financial Examiners	4	1
13-2061	2.C.3.a	Computers and Electronics	51.916416847	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.3.b	Engineering and Technology	14.579829857	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.3.c	Design	9.9369441409	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.3.d	Building and Construction	11.293487645	44,200	Business and financial operations	78010	2	Financial Examiners	4	1
13-2061	2.C.3.e	Mechanical	5.9713600421	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.4.a	Mathematics	66.593865496	44,200	Business and financial operations	78010	1	Financial Examiners	4	1
13-2061	2.C.4.b	Physics	0	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.4.c	Chemistry	0	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.4.d	Biology	5.9713600421	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.4.e	Psychology	25.080441939	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.4.f	Sociology and Anthropology	19.455444164	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.4.g	Geography	23.654658849	44,200	Business and financial operations	78010	2	Financial Examiners	4	1
13-2061	2.C.5.a	Medicine and Dentistry	0	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.5.b	Therapy and Counseling	10.733126528	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.6	Education and Training	48.685581401	44,200	Business and financial operations	78010	2	Financial Examiners	4	1
13-2061	2.C.7.a	English Language	75.295983959	44,200	Business and financial operations	78010	0	Financial Examiners	4	1
13-2061	2.C.7.b	Foreign Language	12.282391788	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.7.c	Fine Arts	0	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.7.d	History and Archeology	15.057983059	44,200	Business and financial operations	78010	2	Financial Examiners	4	1
13-2061	2.C.7.e	Philosophy and Theology	13.623508926	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.8.a	Public Safety and Security	29.556724869	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.8.b	Law and Government	62.764865877	44,200	Business and financial operations	78010	0	Financial Examiners	4	1
13-2061	2.C.9.a	Telecommunications	24.592682566	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2061	2.C.9.b	Communications and Media	34.818713216	44,200	Business and financial operations	78010	3	Financial Examiners	4	1
13-2071	2.C.1.a	Administration and Management	57.616665228	30,510	Business and financial operations	43840	2	Credit Counselors	4	1
13-2071	2.C.1.b	Clerical	70.085137082	30,510	Business and financial operations	43840	0	Credit Counselors	4	1
13-2071	2.C.1.c	Economics and Accounting	55.11355685	30,510	Business and financial operations	43840	0	Credit Counselors	4	1
13-2071	2.C.1.d	Sales and Marketing	51.524015076	30,510	Business and financial operations	43840	1	Credit Counselors	4	1
13-2071	2.C.1.e	Customer and Personal Service	84.628793786	30,510	Business and financial operations	43840	0	Credit Counselors	4	1
13-2071	2.C.1.f	Personnel and Human Resources	36.557704642	30,510	Business and financial operations	43840	2	Credit Counselors	4	1
13-2071	2.C.10	Transportation	17.424235433	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.2.a	Production and Processing	31.242620631	30,510	Business and financial operations	43840	2	Credit Counselors	4	1
13-2071	2.C.2.b	Food Production	3.4805581147	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.3.a	Computers and Electronics	41.008697594	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.3.b	Engineering and Technology	5.2282068024	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.3.c	Design	11.654781326	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.3.d	Building and Construction	10.464204947	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.3.e	Mechanical	4.6913026317	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.4.a	Mathematics	61.386737606	30,510	Business and financial operations	43840	2	Credit Counselors	4	1
13-2071	2.C.4.b	Physics	2.1010201077	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.4.c	Chemistry	1.2071216995	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.4.d	Biology	2.1010201077	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.4.e	Psychology	53.110638242	30,510	Business and financial operations	43840	1	Credit Counselors	4	1
13-2071	2.C.4.f	Sociology and Anthropology	30.825293657	30,510	Business and financial operations	43840	2	Credit Counselors	4	1
13-2071	2.C.4.g	Geography	6.5237656513	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.5.a	Medicine and Dentistry	3.5777087316	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.5.b	Therapy and Counseling	35.540426752	30,510	Business and financial operations	43840	0	Credit Counselors	4	1
13-2071	2.C.6	Education and Training	59.496352948	30,510	Business and financial operations	43840	1	Credit Counselors	4	1
13-2071	2.C.7.a	English Language	67.22141058	30,510	Business and financial operations	43840	2	Credit Counselors	4	1
13-2071	2.C.7.b	Foreign Language	15.343457187	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.7.c	Fine Arts	23.845204278	30,510	Business and financial operations	43840	0	Credit Counselors	4	1
13-2071	2.C.7.d	History and Archeology	5.9033889734	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.7.e	Philosophy and Theology	23.53159496	30,510	Business and financial operations	43840	1	Credit Counselors	4	1
13-2071	2.C.8.a	Public Safety and Security	32.610211018	30,510	Business and financial operations	43840	2	Credit Counselors	4	1
13-2071	2.C.8.b	Law and Government	56.759376208	30,510	Business and financial operations	43840	1	Credit Counselors	4	1
13-2071	2.C.9.a	Telecommunications	15.464312452	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2071	2.C.9.b	Communications and Media	29.778225681	30,510	Business and financial operations	43840	3	Credit Counselors	4	1
13-2072	2.C.1.a	Administration and Management	56.51801277	303,870	Business and financial operations	63430	0	Loan Officers	3	1
13-2072	2.C.1.b	Clerical	61.607050871	303,870	Business and financial operations	63430	0	Loan Officers	3	1
13-2072	2.C.1.c	Economics and Accounting	66.512298517	303,870	Business and financial operations	63430	0	Loan Officers	3	1
13-2072	2.C.1.d	Sales and Marketing	66.842884582	303,870	Business and financial operations	63430	0	Loan Officers	3	1
13-2072	2.C.1.e	Customer and Personal Service	85.064848632	303,870	Business and financial operations	63430	0	Loan Officers	3	1
13-2072	2.C.1.f	Personnel and Human Resources	44.235086369	303,870	Business and financial operations	63430	0	Loan Officers	3	1
13-2072	2.C.10	Transportation	15.653388517	303,870	Business and financial operations	63430	3	Loan Officers	3	1
13-2072	2.C.2.a	Production and Processing	31.245571479	303,870	Business and financial operations	63430	2	Loan Officers	3	1
13-2072	2.C.2.b	Food Production	4.5166358836	303,870	Business and financial operations	63430	2	Loan Officers	3	1
13-2072	2.C.3.a	Computers and Electronics	61.732139803	303,870	Business and financial operations	63430	1	Loan Officers	3	1
13-2072	2.C.3.b	Engineering and Technology	14.085453573	303,870	Business and financial operations	63430	3	Loan Officers	3	1
13-2072	2.C.3.c	Design	15.775206494	303,870	Business and financial operations	63430	3	Loan Officers	3	1
13-2072	2.C.3.d	Building and Construction	19.650518468	303,870	Business and financial operations	63430	2	Loan Officers	3	1
13-2072	2.C.3.e	Mechanical	10.430723983	303,870	Business and financial operations	63430	3	Loan Officers	3	1
13-2072	2.C.4.a	Mathematics	68.724710315	303,870	Business and financial operations	63430	0	Loan Officers	3	1
13-2072	2.C.4.b	Physics	4.8755950579	303,870	Business and financial operations	63430	3	Loan Officers	3	1
13-2072	2.C.4.c	Chemistry	4.8755950579	303,870	Business and financial operations	63430	3	Loan Officers	3	1
13-2072	2.C.4.d	Biology	0	303,870	Business and financial operations	63430	3	Loan Officers	3	1
13-2072	2.C.4.e	Psychology	39.299580759	303,870	Business and financial operations	63430	1	Loan Officers	3	1
13-2072	2.C.4.f	Sociology and Anthropology	21.380899512	303,870	Business and financial operations	63430	2	Loan Officers	3	1
13-2072	2.C.4.g	Geography	23.030414804	303,870	Business and financial operations	63430	1	Loan Officers	3	1
13-2072	2.C.5.a	Medicine and Dentistry	2.9712911311	303,870	Business and financial operations	63430	3	Loan Officers	3	1
13-2072	2.C.5.b	Therapy and Counseling	20.955735441	303,870	Business and financial operations	63430	1	Loan Officers	3	1
13-2072	2.C.6	Education and Training	48.551298369	303,870	Business and financial operations	63430	2	Loan Officers	3	1
13-2072	2.C.7.a	English Language	68.728244237	303,870	Business and financial operations	63430	0	Loan Officers	3	1
13-2072	2.C.7.b	Foreign Language	25.354627306	303,870	Business and financial operations	63430	1	Loan Officers	3	1
13-2072	2.C.7.c	Fine Arts	6.3041936545	303,870	Business and financial operations	63430	2	Loan Officers	3	1
13-2072	2.C.7.d	History and Archeology	16.253351477	303,870	Business and financial operations	63430	1	Loan Officers	3	1
13-2072	2.C.7.e	Philosophy and Theology	17.411818292	303,870	Business and financial operations	63430	2	Loan Officers	3	1
13-2072	2.C.8.a	Public Safety and Security	21.487537975	303,870	Business and financial operations	63430	3	Loan Officers	3	1
13-2072	2.C.8.b	Law and Government	61.266630111	303,870	Business and financial operations	63430	0	Loan Officers	3	1
13-2072	2.C.9.a	Telecommunications	20.913426998	303,870	Business and financial operations	63430	2	Loan Officers	3	1
13-2072	2.C.9.b	Communications and Media	35.050984053	303,870	Business and financial operations	63430	1	Loan Officers	3	1
13-2081	2.C.1.a	Administration and Management	55.464275391	59,640	Business and financial operations	51430	0	Tax Examiners and Collectors, and Revenue Agents	3	1
